collection_id,collection
87096,Avatar Collection
295,Pirates of the Caribbean Collection
645,James Bond Collection
263,The Dark Knight Collection
556,Spider-Man Collection
86311,The Avengers Collection
1241,Harry Potter Collection
209131,Man of Steel Collection
8537,Superman Collection
420,The Chronicles of Narnia Collection
86055,Men In Black Collection
121938,The Hobbit Collection
125574,The Amazing Spider-Man Collection
131295,Captain America Collection
328,Jurassic Park Collection
131292,Iron Man Collection
261307,Alice in Wonderland Collection
748,X-Men Collection
137696,"Monsters, Inc. Collection"
8650,Transformers Collection
63043,TRON Collection
87118,Cars Collection
10194,Toy Story Collection
528,The Terminator Collection
9485,The Fast and the Furious Collection
115575,Star Trek: Alternate Reality Collection
363369,Pacific Rim Collection
84,Indiana Jones Collection
90863,Rush Hour Collection
1733,The Mummy Collection
531242,Suicide Squad Collection
124949,Almighty Collection
578704,Edge of Tomorrow Collection
135468,G.I. Joe (Live-Action) Collection
393379,The Huntsman Collection
531331,Maleficent Collection
173710,Planet of the Apes (Reboot) Collection
732461,47 Ronin Collection
2150,Shrek Collection
404825,Wreck-It Ralph Collection
304378,Independence Day Collection
89137,How to Train Your Dragon Collection
284433,Guardians of the Galaxy Collection
131635,The Hunger Games Collection
14740,Madagascar Collection
85943,Night at the Museum Collection
453993,The Wolverine Collection
2344,The Matrix Collection
386382,Frozen Collection
131296,Thor Collection
8945,Mad Max Collection
115776,Robert Langdon Collection
86780,Clash of the Titans Collection
87359,Mission: Impossible Collection
77816,Kung Fu Panda Collection
945,Lethal Weapon Collection
794718,Hulk Collection
33514,The Twilight Collection
92012,Happy Feet Collection
31562,The Bourne Collection
422834,Ant-Man Collection
14890,Bad Boys Collection
94602,Puss in Boots Collection
728411,The Adventures of Tintin Collection
229932,Rio Collection
102322,Sherlock Holmes Collection
120794,Batman Collection
9744,Fantastic Four Collection
90306,Ghost Rider Collection
86029,Charlie's Angels Collection
135416,Prometheus Collection
99727,Stuart Little Collection
2794,The Chronicles of Riddick Collection
10,Star Wars Collection
464577,The Croods Collection
401562,Teenage Mutant Ninja Turtles (Remake) Collection
304,Ocean's Collection
283579,Divergent Collection
125570,300 Collection
134897,The Smurfs (Theatrical) Collection
43064,Speed Collection
1570,Die Hard Collection
119,The Lord of the Rings Collection
51509,Meet the Parents Collection
97456,The Hunchback of Notre Dame Collection
178117,The Emperor's New Groove Collection
126125,The Expendables Collection
52984,National Treasure Collection
10522,Starship Troopers Collection
43072,The Mask Collection
436295,Surf's Up Collection
50457,Sex and the City Collection
8354,Ice Age Collection
137697,Finding Nemo Collection
2467,Tomb Raider Collection
468222,The Incredibles Collection
179919,Percy Jackson Collection
177467,Cloudy with a Chance of Meatballs Collection
87236,Mulan Collection
575987,The Girl - Millennium Collection
100965,Atlantis Collection
167613,Alvin and the Chipmunks Collection
166376,Hollow Man Collection
382685,Now You See Me Collection
43055,Conan the Barbarian Collection
185103,Hotel Transylvania Collection
531799,Enchanted Collection
124916,101 Dalmatians (Live-Action) Collection
66761,Open Season Collection
86028,The Nutty Professor Collection
86860,Scooby-Doo Collection
107725,Creepshow Collection
87014,Cats & Dogs Collection
17235,Hellboy Collection
86119,The Hangover Collection
97461,Lilo & Stitch Collection
163902,RED Collection
180546,Grown Ups Collection
722961,Space Jam Collection
130440,The Pink Panther (Steve Martin) Collection
55427,Fantasia Collection
1657,Zorro Collection
9435,Babe Collection
85817,Arthur and the Invisibles Collection
94032,The Lion King Collection
605516,Journey Collection
9743,The Hannibal Lecter Collection
427084,The Secret Life of Pets Collection
86066,Despicable Me Collection
12263,The Exorcist Collection
237445,Inspector Gadget Collection
91698,Chili Palmer Collection
544669,Minions Collection
531315,The Angry Birds Collection
3169,Dr. Dolittle Collection
285564,Jarhead Collection
52785,xXx Collection
275402,SpongeBob Collection
221111,S.W.A.T. Collection
115762,AVP Collection
386534,... Has Fallen Collection
115570,Star Trek: The Next Generation Collection
52783,Wall Street Collection
634390,Doom Collection
2326,Underworld Collection
86336,Basic Instinct Collection
525891,Escape Plan Collection
266672,Ted Collection
19387,The X Files Collection
53159,The Santa Clause Collection
725873,Unbroken Collection
735,Blade Collection
17255,Resident Evil Collection
86116,Death Race Collection
135179,Sin City Collection
1006,Austin Powers Collection
192492,The Jack Ryan Collection
230532,Marley & Me Collection
228887,Daddy Day Camp Collection
114783,Cheaper by the Dozen Collection
295130,The Maze Runner Collection
116669,The Scorpion King Collection
403374,Jack Reacher Collection
518165,Deep Blue Sea Collection
666953,Kangaroo Jack Collection
307637,Jingle All the Way Collection
112399,Under Siege Collection
8091,Alien Collection
325470,The Lego Movie Collection
93220,Miss Congeniality Collection
110127,Analyze Collection
86115,Garfield Collection
122922,In the Name of the King Collection
448150,Deadpool Collection
508783,Goosebumps Collection
351684,The Flintstones Collection
5039,Rambo Collection
169452,DragonHeart Collection
299748,Walking Tall (Reboot) Collection
136214,Pocahontas Collection
126221,George of the Jungle Collection
2806,American Pie Collection
8819,Casper Collection
523855,The Equalizer Collection
2883,Kill Bill Collection
59567,Shanghai Noon Collection
488924,Paddington Collection
