director_id,director_name
2710,James Cameron
1704,Gore Verbinski
39,Sam Mendes
525,Christopher Nolan
7,Andrew Stanton
7623,Sam Raimi
76595,Byron Howard
121830,Nathan Greno
12891,Joss Whedon
11343,David Yates
15217,Zack Snyder
9032,Bryan Singer
12995,Marc Forster
5524,Andrew Adamson
17633,Rob Marshall
5174,Barry Sonnenfeld
108,Peter Jackson
87742,Marc Webb
578,Ridley Scott
3288,Chris Weitz
19271,Anthony Russo
19272,Joe Russo
36602,Peter Berg
930707,Colin Trevorrow
1108,Shane Black
510,Tim Burton
11091,Brett Ratner
225976,Dan Scanlon
865,Michael Bay
86270,Joseph Kosinski
7879,John Lasseter
32532,Brad Lewis
10702,Martin Campbell
8,Lee Unkrich
36425,McG
2127,James Wan
15344,J.J. Abrams
6201,Baz Luhrmann
10723,Mike Newell
10828,Guillermo del Toro
488,Steven Spielberg
21198,Peter Sohn
59803,Brenda Chapman
126638,Mark Andrews
137262,Steve Purcell
58189,Justin Lin
6046,Roland Emmerich
24,Robert Zemeckis
9339,Lilly Wachowski
9340,Lana Wachowski
12890,Pete Docter
12080,Conrad Vernon
65630,Rob Letterman
15277,Jon Favreau
1032,Martin Scorsese
18878,Rob Cohen
19769,David Ayer
4499,Tom Shadyac
11694,Doug Liman
8300,Kevin Reynolds
7775,Stephen Sommers
228134,Rupert Sanders
1032536,Robert Stromberg
32278,Matt Reeves
8965,Roland Joffé
239571,Carl Rinsch
64151,Mike Mitchell
7087,Brad Bird
70238,Chris Williams
227439,Don Hall
165787,Rich Moore
66193,Chris Sanders
69797,Dean DeBlois
7213,Jonathan Mostow
15218,James Gunn
77921,Hideaki Anno
80752,Shinji Higuchi
7467,David Fincher
957,Matthew Vaughn
10943,Francis Lawrence
12962,Jon Turteltaub
5231,Wolfgang Petersen
26205,James Bobin
12098,Chris Miller
12099,Raman Hui
81850,Duncan Jones
47005,Alan Taylor
10781,Michael Apted
1152,Oliver Stone
7930,Jan Pinkava
18863,Eric Darnell
18864,Tom McGrath
17825,Shawn Levy
13079,Gavin Hood
15774,Chris Buck
1120694,Jennifer Lee
20629,George Miller
6159,Ron Howard
11181,Kenneth Branagh
84851,Hoyt Yeatman
66739,Jonathan Liebesman
9033,Christopher McQuarrie
4945,Joe Johnston
44113,Steve Hickner
44114,Simon J. Smith
142312,Jennifer Yuh Nelson
11614,M. Night Shyamalan
21879,Simon Wells
33183,David Bowers
58897,Sam Fell
36588,Joe Wright
18898,Rob Minkoff
7256,Lee Tamahori
116805,Paul Feig
1262481,Alessandro Carloni
151007,Peter Ramsey
15002,Dean Parisot
9181,Edward Zwick
21085,Alex Proyas
7187,Richard Donner
1614,Ang Lee
54507,Jon M. Chu
52609,Breck Eisner
21692,Hironobu Sakaguchi
21693,Motonori Sakakibara
2690,Peter Weir
15557,Bill Condon
18865,Louis Leterrier
223,Alejandro González Iñárritu
94075,David Soren
25598,Paul Greengrass
57741,Mark Osborne
57742,John Stevenson
59026,Peyton Reed
52870,Tim Johnson
13015,Phillip Noyce
6431,Darren Aronofsky
11218,Alfonso Cuarón
65855,Ralph Zondag
65856,Eric Leighton
10965,Chris Columbus
57270,Robert Schwentke
5714,Carlos Saldanha
956,Guy Ritchie
10491,Paul Verhoeven
1090,John McTiernan
19242,Tony Gilroy
5572,Joel Schumacher
11401,John Woo
20400,Tim Story
16837,Mark Steven Johnson
82194,Neill Blomkamp
28239,David Twohy
52576,José Padilha
3388,James L. Brooks
366,James Mangold
1,George Lucas
71267,Kirk De Micco
20674,Thomas Langmann
24886,Frédéric Forestier
1454884,Cedric Nicolas-Troyan
21370,Roger Donaldson
1101410,Dave Green
934803,Josh Trank
132876,Brad Peyton
1724,Roger Spottiswoode
1884,Steven Soderbergh
201,Michel Gondry
78914,Noam Murro
1215,Raja Gosnell
70287,Will Finn
80671,John Sanford
2209,Jan de Bont
3950,Len Wiseman
57370,Frank Coraci
638,Michael Mann
5133,Bo Welch
15810,Ron Clements
15811,John Musker
36804,Peter Chelsom
58498,Dominic Sena
893,Tony Scott
3289,Paul Weitz
55710,Adam McKay
26713,Chuck Russell
138,Quentin Tarantino
62047,Gary Trousdale
62048,Kirk Wise
61411,Mark Dindal
12786,Simon West
25453,Stefen Fangmeier
5953,Spike Jonze
5713,Chris Wedge
8193,Florian Henckel von Donnersmarck
37710,Peter Hyams
1071,Tom Tykwer
4586,Pitof
11887,Brad Silberling
143059,Patrick Hughes
21673,Ericson Core
64191,Lawrence Guterman
33485,Ron Underwood
71729,Steve Martino
1255,David Mamet
607,Zhang Yimou
12905,Ash Brannon
7908,Frank Oz
6737,Jay Roach
59,Luc Besson
38023,Michael Patrick King
27005,Don Michael Paul
65629,Bibo Bergeron
229962,Mike Thurmeier
130938,Sergei Bodrov
559,Wally Pfister
77357,Rupert Wyatt
54050,Mark Waters
12028,John Moore
54040,John Lee Hancock
16938,Renny Harlin
107446,Phil Lord
155267,Christopher Miller
7399,Ben Stiller
66190,Tony Bancroft
66191,Barry Cook
23430,Timur Bekmambetov
68573,Walt Becker
17494,Dennis Dugan
2226,Sydney Pollack
109857,Thor Freudenthal
1150,Brian De Palma
8843,Mick Jackson
6349,Alan J. Pakula
14392,Kathryn Bigelow
8328,John Milius
58728,Andrei Konchalovsky
23964,Gary Ross
4014,Paul W.S. Anderson
185438,Genndy Tartakovsky
15775,Kevin Lima
125738,Daniel Espinosa
17698,Nancy Meyers
7881,Jill Culton
15812,Roger Allers
52691,Anthony Stacchi
17329,Neil Burger
2352,Jean-Jacques Annaud
208113,Sarah Smith
769,Martin Brest
12989,Andrew Davis
66777,Bob Fosse
56512,Tarsem Singh
11090,Edgar Wright
15148,Jon Amiel
13426,Peter Segal
43141,Pete Travis
14999,George A. Romero
16483,Sylvester Stallone
57130,Todd Phillips
52845,Karey Kirkpatrick
17046,Gary Winick
51984,Mimi Leder
71600,Seth Gordon
20739,Adam Shankman
40256,D.J. Caruso
2239,Anthony Minghella
11447,Albert Hughes
11448,Allen Hughes
56911,Les Mayfield
23677,Joe Pytka
55499,Scott Derrickson
8858,Ivan Reitman
9622,Eric Brevig
12079,Kelly Asbury
56660,Lorna Cook
2042,Stephen Hopkins
16294,Jonathan Demme
117075,Henry Jaglom
5690,James Algar
12824,Don Hahn
56146,Gaëtan Brizzi
56147,Paul Brizzi
65531,Eric Goldberg
74297,Hendel Butoy
74298,Francis Glebas
74299,Pixote Hunt
9198,Vincent Ward
32593,Steven Brill
280,Terry Gilliam
17627,Lucile Hadzihalilovic
561061,Neil Nightingale
5058,Roger Christian
4600,Joe Dante
1269,Kevin Costner
56154,Antony Hoffman
20030,Jacques Perrin
138857,Jacques Cluzaud
1172908,Andrés Couturier
12095,Cody Cameron
1046494,Kris Pearn
6482,John Singleton
7832,Oliver Hirschbiegel
11266,James McTeigue
588701,Des McAnuff
124748,Chris Renaud
10808,Stephen Norrington
124747,Pierre Coffin
4759,David Kellogg
5342,Mike Nichols
12058,Vicky Jenson
37932,F. Gary Gray
20907,Antoine Fuqua
36797,Robert Luketic
57193,Gil Kenan
8246,Barry Levinson
3415,Jerry Zucker
17167,Andy Tennant
1011158,Florent-Emilio Siri
12881,Gary Goldman
40345,Don Bluth
4037,Ron Shelton
94220,Àlex Pastor
94222,David Pastor
57646,Henry Selick
8023,Kyle Balda
52701,Fergal Reilly
1281387,Clay Kaytis
41039,Judd Apatow
52112,Steve Carr
2461,Mel Gibson
197,David Silverman
4027,Frank Darabont
31024,Betty Thomas
7911,Joe Ranft
1201,Garry Marshall
217174,Paul Tibbitt
47640,Clark Johnson
11649,Cameron Crowe
2460,Randall Wallace
2388,Jonathan Frakes
1461,George Clooney
1167470,Gary Shore
10765,Andrzej Bartkowiak
80923,Måns Mårlind
80924,Björn Stein
17812,Gregory Hoblit
141688,Gary McKendry
65615,Wych Kaosayananda
30149,Mikael Salomon
7395,Bobby Farrelly
7396,Peter Farrelly
15780,Dan St. Pierre
41378,Kerry Conran
30365,Michael Caton-Jones
29605,Mikael Håfström
23968,Phil Alden Robinson
27571,David Slade
52629,Joseph Ruben
52139,Seth MacFarlane
19840,Alejandro Amenábar
59646,Kinka Usher
50767,Craig Gillespie
12523,Rob Bowman
58656,Doug Lefler
293911,Scott Waugh
8844,Lawrence Kasdan
15045,Michael Lembeck
70500,Tom Hooper
9248,Nora Ephron
11701,Angelina Jolie
190,Clint Eastwood
6767,Larry Charles
240,Stanley Kubrick
82511,Will Gluck
56411,Glenn Ficarra
56412,John Requa
3893,David S. Goyer
18596,Taylor Hackford
7145,Michael Lehmann
1707,Stuart Beattie
3556,Roman Polanski
2294,Robert Rodriguez
