imdb_id,average_rating,num_votes
tt0006864,7.7,14253
tt0015624,7.9,6194
tt0019729,5.7,6501
tt0020960,7.4,4844
tt0022879,6.5,5112
tt0024034,7.4,10776
tt0024548,6.3,5498
tt0025316,8.1,94213
tt0027125,7.7,17494
tt0027438,7.1,4516
tt0027977,8.5,218321
tt0029442,7.7,4147
tt0029583,7.6,181821
tt0029852,6.9,1899
tt0030993,7.9,23366
tt0031381,8.1,290473
tt0031679,8.1,107148
tt0032138,8.0,371610
tt0032264,6.4,1600
tt0032273,7.1,3096
tt0032455,7.7,88752
tt0032910,7.4,131578
tt0032976,8.1,124141
tt0033729,7.7,21406
tt0034492,7.3,131512
tt0034583,8.5,522809
tt0035423,6.4,79054
tt0035959,7.0,2318
tt0036628,6.6,1464
tt0036868,8.0,57327
tt0037884,7.9,33583
tt0038109,7.6,43559
tt0038116,7.0,3589
tt0038213,7.4,1862
tt0038499,6.8,7996
tt0038650,8.6,406408
tt0039416,7.2,14814
tt0039927,6.3,1342
tt0040525,7.6,27032
tt0040671,6.7,197
tt0040694,7.0,4395
tt0040724,7.8,28217
tt0041841,7.1,9562
tt0041866,7.3,15985
tt0042200,6.9,4389
tt0043949,7.2,13662
tt0044030,6.9,4469
tt0044081,8.0,99313
tt0044533,7.2,3100
tt0044672,6.6,13001
tt0044706,7.9,97314
tt0045152,8.3,219338
tt0045546,6.7,7006
tt0045793,7.6,43445
tt0046126,7.0,14877
tt0046247,6.7,9325
tt0046672,7.2,29457
tt0046949,6.6,3549
tt0047296,8.1,142368
tt0048750,7.1,33848
tt0049452,6.2,3653
tt0049513,7.3,17033
tt0049875,6.8,4223
tt0050083,9.0,691200
tt0050212,8.1,203761
tt0051459,8.0,45135
tt0052646,4.5,6257
tt0053131,7.6,9438
tt0053290,6.2,2919
tt0053291,8.2,244348
tt0053604,8.3,164683
tt0053793,7.8,10404
tt0054215,8.5,605144
tt0054997,8.0,75124
tt0055031,8.2,69593
tt0055184,7.2,17310
tt0055312,7.2,6158
tt0055614,7.5,97187
tt0055928,7.2,150393
tt0056172,8.3,268542
tt0056193,7.6,93023
tt0056197,7.8,52170
tt0056217,8.1,68930
tt0056592,8.2,294161
tt0056800,6.7,6015
tt0056937,7.0,29498
tt0057007,6.9,7756
tt0057012,8.4,451147
tt0057076,7.4,120570
tt0057115,8.2,225065
tt0057163,7.8,19613
tt0057193,7.5,37942
tt0057590,6.5,11700
tt0058085,6.7,8259
tt0058150,7.7,174324
tt0058182,7.6,40410
tt0058331,7.8,158229
tt0058385,7.8,86627
tt0058414,8.0,1390
tt0059026,8.3,32868
tt0059113,8.0,69969
tt0059245,6.6,9178
tt0059418,6.7,7101
tt0059742,8.0,206150
tt0059800,7.0,107272
tt0059825,7.8,14462
tt0060153,6.5,29761
tt0060438,6.9,8378
tt0060490,6.9,8257
tt0060665,7.7,31277
