id,actor_id
19995,65731
19995,8691
19995,10205
19995,32747
19995,17647
19995,1771
19995,59231
19995,30485
19995,15853
19995,10964
285,85
285,114
285,116
285,1640
285,1619
285,2440
285,118
285,1709
285,2449
285,2441
206647,8784
206647,27319
206647,121529
206647,5469
206647,28782
206647,17064
206647,2038
206647,543530
206647,125660
206647,139549
49026,3894
49026,3895
49026,64
49026,1813
49026,2524
49026,8293
49026,24045
49026,192
49026,2037
49026,36594
49529,60900
49529,21044
49529,2206
49529,5293
49529,19159
49529,2983
49529,8785
49529,17287
49529,17648
49529,17419
559,2219
559,205
559,17051
559,19159
559,17052
559,18997
559,18998
559,2505
559,18999
559,9207
38757,69899
38757,16855
38757,2517
38757,2372
38757,22132
38757,4175
38757,18
38757,1219029
38757,10460
38757,1273208
99861,3223
99861,74568
99861,103
99861,16828
99861,1245
99861,17604
99861,13548
99861,2231
99861,1896
99861,27428
767,10980
767,10989
767,10990
767,10993
767,5658
767,388
767,1283
767,1923
767,10978
767,4566
209112,880
209112,73968
209112,90633
209112,9273
209112,44735
209112,2882
209112,16940
209112,2975
209112,18686
209112,59233
1452,17271
1452,1979
1452,7517
1452,11006
1452,7489
1452,8924
1452,53492
1452,2639
1452,3084
1452,53493
10764,8784
10764,18182
10764,8789
10764,5309
10764,3753
10764,59620
10764,2954
10764,35029
10764,2244
10764,62892
58,85
58,114
58,116
58,1640
58,2440
58,1709
58,2449
58,378
58,1710
58,1711
57201,85
57201,53807
57201,886
57201,1283
57201,18473
57201,207
57201,47720
57201,12834
57201,22063
57201,583040
49521,73968
49521,9273
49521,335
49521,1269
49521,2882
49521,934
49521,2975
49521,43202
49521,22227
49521,213049
2454,25130
2454,5528
2454,5529
2454,5527
2454,5526
2454,2166
2454,25132
2454,22970
2454,11184
2454,25133
24428,3223
24428,16828
24428,103
24428,74568
24428,1245
24428,17604
24428,91606
24428,9048
24428,71189
24428,1640
1865,85
1865,955
1865,6972
1865,2449
1865,118
1865,237455
1865,469759
1865,1115
1865,4031
1865,1712
41154,2888
41154,2176
41154,16851
41154,72873
41154,7056
41154,55936
41154,151246
41154,59860
41154,19278
41154,87070
122917,7060
122917,1327
122917,30315
122917,25136
122917,95047
122917,67123
122917,34715
122917,1193834
122917,152566
122917,207558
1930,37625
1930,54693
1930,7026
1930,5724
1930,55152
1930,76793
1930,8349
1930,35
1930,558928
1930,231547
20662,934
20662,112
20662,2201
20662,227
20662,2983
20662,25072
20662,6413
20662,20300
20662,13633
20662,15576
57158,7060
57158,1327
57158,30315
57158,25136
57158,95047
57158,67123
57158,34715
57158,1193834
57158,152566
57158,207558
2268,45589
2268,2227
2268,8784
2268,16431
2268,10912
2268,1281
2268,1327
2268,45585
2268,6972
2268,5470
254,3489
254,70851
254,3490
254,3491
254,3492
254,1333
254,3493
254,478
254,3494
254,3495
597,204
597,6193
597,3713
597,1954
597,8534
597,8535
597,2053
597,1369
597,2076
597,8536
271110,16828
271110,3223
271110,1245
271110,60898
271110,53650
271110,1896
271110,17604
271110,172069
271110,6162
271110,550843
44833,60900
44833,28846
44833,131519
44833,131520
44833,13275
44833,3896
44833,1052162
44833,184581
44833,88124
44833,205406
135397,73457
135397,18997
135397,76793
135397,7132
135397,1108907
135397,17181
135397,543505
135397,78423
135397,14592
135397,20750
37724,8784
37724,5309
37724,3810
37724,5469
37724,2038
37724,1030261
37724,3926
37724,17064
37724,139549
37724,11045
558,2219
558,205
558,17051
558,658
558,18998
558,2517
558,18999
558,19154
558,19152
558,5293
68721,3223
68721,12052
68721,1896
68721,529
68721,15556
68721,15277
68721,2282
68721,18473
68721,121953
68721,6162
12155,76070
12155,85
12155,1813
12155,1283
12155,1064
12155,20982
12155,30083
12155,26209
12155,11855
12155,11276
36668,6968
36668,4587
36668,1327
36668,2387
36668,10696
36668,10690
36668,7090
36668,11023
36668,11022
36668,27578
62211,7904
62211,1230
62211,884
62211,15735
62211,1271300
62211,21198
62211,155649
62211,52601
62211,21290
62211,95101
8373,10959
8373,19537
8373,19536
8373,11678
8373,8169
8373,1241
8373,14721
8373,24305
8373,72985
8373,103554
91314,13240
91314,2283
91314,7090
91314,61186
91314,1007683
91314,39389
91314,3971
91314,109432
91314,51990
91314,204100
68728,17051
68728,18973
68728,3293
68728,1812
68728,5367
68728,8854
68728,125025
68728,19754
68728,224723
68728,123725
102382,37625
102382,54693
102382,134
102382,122889
102382,55152
102382,6368
102382,10132
102382,13242
102382,35
102382,558928
20526,9828
20526,1229
20526,59315
20526,2547
20526,60033
20526,86268
20526,20403
20526,130108
20526,22063
20526,86269
49013,887
49013,15897
49013,3895
49013,1246
49013,1241
49013,1926
49013,3491
49013,3266
49013,31514
49013,11357
44912,10859
44912,59175
44912,133
44912,504
44912,2983
44912,7242
44912,109942
44912,4602
44912,27107
44912,147719
10193,31
10193,12898
10193,13726
10193,3234
10193,2232
10193,2395
10193,5149
10193,12900
10193,7907
10193,7167
534,3894
534,65731
534,21028
534,56455
534,18997
534,1283
534,4238
534,76542
534,11086
534,13724
168259,12835
168259,8167
168259,18918
168259,17647
168259,8169
168259,8171
168259,22123
168259,938
168259,57207
168259,997887
72190,287
72190,175826
72190,1027850
72190,1186840
72190,18473
72190,78050
72190,7219
72190,1180907
72190,119297
72190,2607
127585,6968
127585,5530
127585,17288
127585,72129
127585,4587
127585,10690
127585,27578
127585,22970
127585,1327
127585,2387
54138,62064
54138,17306
54138,8691
54138,1372
54138,11108
54138,68842
54138,71580
54138,21028
54138,21089
54138,27811
81005,3292
81005,73357
81005,3061
81005,2283
81005,6972
81005,1665
81005,1125
81005,11184
81005,2440
81005,53916
64682,6193
64682,2219
64682,36662
64682,33192
64682,1133349
64682,52848
64682,76512
64682,35780
64682,236851
64682,205474
9543,131
9543,59620
