id,collection_id
19995,87096
285,295
206647,645
49026,263
559,556
99861,86311
767,1241
209112,209131
1452,8537
10764,645
58,295
49521,209131
2454,420
24428,86311
1865,295
41154,86055
122917,121938
1930,125574
57158,121938
271110,131295
135397,328
37724,645
558,556
68721,131292
12155,261307
36668,748
62211,137696
8373,8650
91314,8650
102382,125574
20526,63043
49013,87118
10193,10194
534,528
168259,9485
127585,748
54138,115575
68726,363369
38356,8650
217,84
188927,115575
5174,90863
411,420
246655,748
155,263
1726,131292
1735,1733
297761,531242
2698,124949
137113,578704
14869,135468
10138,131292
58595,393379
102651,531331
119450,173710
64686,732461
100402,131295
10192,2150
82690,404825
47933,304378
10191,89137
296,528
118340,284433
49051,121938
9799,9485
49538,748
131634,131635
241259,261307
810,2150
87101,528
10140,420
1858,8650
675,1241
674,1241
272,263
10527,14740
18360,85943
2080,453993
605,2344
109445,386382
604,2344
76338,131296
76341,8945
13448,115776
10195,131296
57165,86780
177677,87359
49444,77816
956,87359
80321,14740
36669,645
608,86055
140300,77816
56292,87359
13475,115575
557,556
82702,89137
944,945
1927,794718
72559,135468
1771,131295
36643,645
50620,33514
65759,92012
1724,794718
2503,31562
9502,77816
102899,422834
101299,131635
8961,14890
417859,94602
17578,728411
673,1241
181533,85943
671,1241
22,295
131631,131635
591,115776
172385,229932
36658,748
51497,9485
58574,102322
18823,86780
49040,31562
415,120794
955,87359
1979,9744
1250,90306
324668,31562
9471,86029
70981,135416
10996,99727
2789,2794
1895,10
1894,10
585,137696
76170,453993
1893,10
49519,464577
290595,393379
98566,401562
308531,401562
1593,85943
714,645
163,304
262500,283579
53182,125570
41513,134897
262504,283579
77931,134897
1639,43064
1571,1570
120,119
10137,99727
672,1241
36557,645
280,528
39451,51509
10545,97456
11688,178117
76163,126125
2059,52984
414,120794
563,10522
138103,126125
10214,43072
1734,1733
9408,436295
37786,50457
57800,8354
12,137697
122,119
121,119
1995,2467
331,328
61791,173710
47964,1570
9806,468222
32657,179919
607,86055
863,10194
5175,90863
22794,177467
8355,8354
4327,86029
10674,87236
65754,575987
1572,1570
10528,102322
10865,100965
258509,167613
9383,166376
76285,179919
1996,2467
291805,382685
46195,229932
9387,43055
9836,92012
2502,31562
161,304
76492,185103
4523,531799
10481,124916
298,304
7484,66761
157350,283579
9615,9485
12107,86028
9637,86860
16281,107725
39691,87014
11253,17235
310,124949
27578,126125
954,87359
70160,131635
45243,86119
364,120794
11544,97461
146216,163902
55301,167613
109418,180546
2300,722961
12096,130440
159824,185103
49948,55427
1656,1657
9447,9435
9992,85817
8587,94032
72545,605516
109451,177467
9533,9743
584,9485
328111,427084
93456,86066
602,304378
330,328
953,14740
36657,748
950,8354
11026,12263
332,237445
75656,382685
38365,180546
4551,91698
211672,544669
153518,531315
10808,3169
25,285564
3050,3169
809,2150
920,87118
7451,52785
228165,275402
1573,1570
9257,221111
395,115762
23398,167613
117263,386534
200,115570
33909,52783
8814,634390
52520,2326
3093,86336
107846,525891
24021,33514
20352,86066
214756,266672
846,19387
425,8354
603,2344
9021,53159
9342,1657
227306,725873
36648,735
71679,17255
10483,86116
189,135179
818,1006
329,328
9331,192492
1271,125570
693,51509
14306,230532
2501,31562
710,645
10708,228887
10992,87014
9641,114783
294254,295130
39514,163902
9334,116669
75780,403374
8914,518165
10628,666953
9279,307637
1487,17235
3512,112399
267860,386534
8078,8091
137106,325470
10040,93220
201,115570
9932,110127
9513,86115
11679,52785
2312,122922
293660,448150
257445,508783
889,351684
1370,5039
35791,17255
8840,169452
71676,90306
11358,299748
6477,167613
1597,51509
10530,136214
1924,8537
9327,86028
10603,126221
8273,2806
8839,8819
156022,523855
24,2883
393,2883
8584,59567
8077,8091
116149,488924
4517,100286
16072,725681
34314,166379
145220,256377
36586,735
242,230
8536,8537
479,608103
3683,261382
11631,458558
6519,332357
18239,33514
808,2150
72105,266672
109443,93791
187017,212562
628,217704
274167,473971
388,631194
10320,14563
8920,86115
6038,59567
9975,55428
11451,12087
588,64748
71552,2806
306,85861
928,89151
1577,17255
9801,8936
14199,727089
1248,9743
10061,115838
11968,174386
329833,352789
89,84
260346,135483
1368,5039
5393,141084
199,115570
888,351684
82675,135483
4256,4246
1493,93220
88751,605516
11130,107674
9869,192492
4248,4246
64328,256377
36647,735
9360,105995
508,793484
7737,17255
9486,86117
58233,86117
1369,5039
834,2326
27582,280504
64688,212562
7443,718551
709,645
1885,8580
165,264
216015,344830
12279,86486
11007,114783
259693,313086
4257,4246
4234,2602
196,264
1213,721108
100042,96665
323675,376650
187,135179
11565,44979
19912,8864
8007,98513
227159,280588
708,645
34851,399
440,115762
11011,167985
41446,2602
8224,387618
55779,8864
8850,105075
11398,25410
10802,247294
10366,10713
9495,9436
9531,8537
9488,86486
193,115570
256961,328372
1091,479888
87421,2794
312221,553717
10488,232844
62837,288491
8966,33514
36670,645
23048,313576
227735,288491
11802,118828
18785,86119
817,1006
268,120794
943,945
10054,86486
51540,280588
152,151
9348,9887
377,8581
8843,223564
325133,400700
89492,779062
12437,2326
9957,632730
1576,17255
609,10453
23479,215326
13515,105324
11979,217704
169,399
94348,142680
35019,35792
8836,19387
13056,635362
49478,174407
198663,295130
9600,44979
85446,86092
7220,635362
9763,110177
1892,10
38322,44979
9335,9518
698,645
8012,91698
2770,2806
862,10194
1637,43064
1669,192492
2907,11716
9273,3167
9880,107674
11836,275402
9535,110127
9598,9435
10762,146534
227783,464308
172,151
21972,363014
36593,37139
