release_date,title,website_title,cleaned_website_title,final_title
2009-12-10,avatar,avatar,avatar,avatar
2007-05-19,pirates_of_the_caribbean_at_worlds_end,pirates_of_the_caribbean_at_worlds_end,pirates_of_the_caribbean_at_worlds_end,pirates_of_the_caribbean_at_worlds_end
2015-10-26,spectre,spectre,spectre,spectre
2012-07-16,the_dark_knight_rises,the_dark_knight_rises,the_dark_knight_rises,the_dark_knight_rises
2012-03-07,john_carter,john_carter,john_carter,john_carter
2007-05-01,spider_man_3,https://www.rottentomatoes.com/m/spider_man_3,spiderman_3,spiderman_3
2010-11-24,tangled,tangled,tangled,tangled
2015-04-22,avengers_age_of_ultron,avengers_age_of_ultron,avengers_age_of_ultron,avengers_age_of_ultron
2009-07-07,harry_potter_and_the_half_blood_prince,harry_potter_and_the_half_blood_prince,harry_potter_and_the_half_blood_prince,harry_potter_and_the_half_blood_prince
2016-03-23,batman_v_superman_dawn_of_justice,batman_v_superman_dawn_of_justice,batman_v_superman_dawn_of_justice,batman_v_superman_dawn_of_justice
2006-06-28,superman_returns,superman_returns,superman_returns,superman_returns
2008-10-30,quantum_of_solace,quantum_of_solace,quantum_of_solace,quantum_of_solace
2006-06-20,pirates_of_the_caribbean_dead_mans_chest,pirates_of_the_caribbean_dead_mans_chest,pirates_of_the_caribbean_dead_mans_chest,pirates_of_the_caribbean_dead_mans_chest
2013-07-03,the_lone_ranger,the_lone_ranger,the_lone_ranger,the_lone_ranger
2013-06-12,man_of_steel,https://www.rottentomatoes.com/m/man_of_steel,superman_man_of_steel,superman_man_of_steel
2008-05-15,the_chronicles_of_narnia_prince_caspian,https://www.rottentomatoes.com/m/the_chronicles_of_narnia_prince_caspian,chronicles_of_narnia_prince_caspian,chronicles_of_narnia_prince_caspian
2012-04-25,the_avengers,https://www.rottentomatoes.com/m/the_avengers,marvels_the_avengers,marvels_the_avengers
2011-05-14,pirates_of_the_caribbean_on_stranger_tides,pirates_of_the_caribbean_on_stranger_tides,pirates_of_the_caribbean_on_stranger_tides,pirates_of_the_caribbean_on_stranger_tides
2012-05-23,men_in_black_3,https://www.rottentomatoes.com/m/men_in_black_3,men_in_black_iii,men_in_black_iii
2014-12-10,the_hobbit_the_battle_of_the_five_armies,the_hobbit_the_battle_of_the_five_armies,the_hobbit_the_battle_of_the_five_armies,the_hobbit_the_battle_of_the_five_armies
2012-06-27,the_amazing_spider_man,the_amazing_spider_man,the_amazing_spider_man,the_amazing_spider_man
2010-05-12,robin_hood,robin_hood,robin_hood,robin_hood
2013-12-11,the_hobbit_the_desolation_of_smaug,the_hobbit_the_desolation_of_smaug,the_hobbit_the_desolation_of_smaug,the_hobbit_the_desolation_of_smaug
2007-12-04,the_golden_compass,the_golden_compass,the_golden_compass,the_golden_compass
2005-12-14,king_kong,king_kong,king_kong,king_kong
1997-11-18,titanic,titanic,titanic,titanic
2016-04-27,captain_america_civil_war,captain_america_civil_war,captain_america_civil_war,captain_america_civil_war
2012-04-11,battleship,battleship,battleship,battleship
2015-06-09,jurassic_world,jurassic_world,jurassic_world,jurassic_world
2012-10-25,skyfall,skyfall,skyfall,skyfall
2004-06-25,spider_man_2,https://www.rottentomatoes.com/m/spider_man_2,spiderman_2,spiderman_2
2013-04-18,iron_man_3,iron_man_3,iron_man_3,iron_man_3
2010-03-03,alice_in_wonderland,https://www.rottentomatoes.com/m/alice_in_wonderland,1221547-alice_in_wonderland,1221547-alice_in_wonderland
2006-05-24,x_men_the_last_stand,x_men_the_last_stand,x_men_the_last_stand,x_men_the_last_stand
2013-06-20,monsters_university,monsters_university,monsters_university,monsters_university
2009-06-19,transformers_revenge_of_the_fallen,transformers_revenge_of_the_fallen,transformers_revenge_of_the_fallen,transformers_revenge_of_the_fallen
2014-06-25,transformers_age_of_extinction,transformers_age_of_extinction,transformers_age_of_extinction,transformers_age_of_extinction
2013-03-07,oz_the_great_and_powerful,oz_the_great_and_powerful,oz_the_great_and_powerful,oz_the_great_and_powerful
2014-04-16,the_amazing_spider_man_2,the_amazing_spider_man_2,the_amazing_spider_man_2,the_amazing_spider_man_2
2010-12-10,tron_legacy,https://www.rottentomatoes.com/m/tron_legacy,10011582-TRON_legacy,10011582-TRON_legacy
2011-06-11,cars_2,cars_2,cars_2,cars_2
2011-06-16,green_lantern,green_lantern,green_lantern,green_lantern
2010-06-16,toy_story_3,toy_story_3,toy_story_3,toy_story_3
2009-05-20,terminator_salvation,terminator_salvation,terminator_salvation,terminator_salvation
2015-04-01,furious_7,furious_7,furious_7,furious_7
2013-06-20,world_war_z,world_war_z,world_war_z,world_war_z
2014-05-15,x_men_days_of_future_past,x_men_days_of_future_past,x_men_days_of_future_past,x_men_days_of_future_past
2013-05-05,star_trek_into_darkness,star_trek_into_darkness,star_trek_into_darkness,star_trek_into_darkness
2013-02-27,jack_the_giant_slayer,jack_the_giant_slayer,jack_the_giant_slayer,jack_the_giant_slayer
2013-05-10,the_great_gatsby,the_great_gatsby,the_great_gatsby,the_great_gatsby
2010-05-19,prince_of_persia_the_sands_of_time,https://www.rottentomatoes.com/m/prince_of_persia_the_sands_of_time,prince_of_persia_sands_of_time,prince_of_persia_sands_of_time
2013-07-11,pacific_rim,https://www.rottentomatoes.com/m/pacific_rim,pacific_rim_2013,pacific_rim_2013
2011-06-28,transformers_dark_of_the_moon,transformers_dark_of_the_moon,transformers_dark_of_the_moon,transformers_dark_of_the_moon
2008-05-21,indiana_jones_and_the_kingdom_of_the_crystal_skull,indiana_jones_and_the_kingdom_of_the_crystal_skull,indiana_jones_and_the_kingdom_of_the_crystal_skull,indiana_jones_and_the_kingdom_of_the_crystal_skull
2015-11-14,the_good_dinosaur,the_good_dinosaur,the_good_dinosaur,the_good_dinosaur
2012-06-21,brave,https://www.rottentomatoes.com/m/brave,brave_2012,brave_2012
2016-07-07,star_trek_beyond,star_trek_beyond,star_trek_beyond,star_trek_beyond
2008-06-22,walle,https://www.rottentomatoes.com/m/walle,wall_e,wall_e
2007-08-08,rush_hour_3,rush_hour_3,rush_hour_3,rush_hour_3
2009-10-10,2012,2012,2012,2012
2009-11-04,a_christmas_carol,a_christmas_carol,a_christmas_carol,a_christmas_carol
2015-02-04,jupiter_ascending,jupiter_ascending,jupiter_ascending,jupiter_ascending
2016-06-29,the_legend_of_tarzan,the_legend_of_tarzan,the_legend_of_tarzan,the_legend_of_tarzan
2005-12-07,the_chronicles_of_narnia_the_lion_the_witch_and_the_wardrobe,https://www.rottentomatoes.com/m/the_chronicles_of_narnia_the_lion_the_witch_and_the_wardrobe,chronicles_of_narnia_lion_witch_wardrobe,chronicles_of_narnia_lion_witch_wardrobe
2016-05-18,x_men_apocalypse,x_men_apocalypse,x_men_apocalypse,x_men_apocalypse
2008-07-16,the_dark_knight,the_dark_knight,the_dark_knight,the_dark_knight
2009-05-13,up,up,up,up
2009-03-19,monsters_vs_aliens,monsters_vs_aliens,monsters_vs_aliens,monsters_vs_aliens
2008-04-30,iron_man,iron_man,iron_man,iron_man
2011-11-22,hugo,hugo,hugo,hugo
1999-06-29,wild_wild_west,wild_wild_west,wild_wild_west,wild_wild_west
2008-07-01,the_mummy_tomb_of_the_dragon_emperor,https://www.rottentomatoes.com/m/the_mummy_tomb_of_the_dragon_emperor,mummy_tomb_of_the_dragon_emperor,mummy_tomb_of_the_dragon_emperor
2016-08-02,suicide_squad,suicide_squad,suicide_squad,suicide_squad
2007-06-09,evan_almighty,evan_almighty,evan_almighty,evan_almighty
2014-05-27,edge_of_tomorrow,edge_of_tomorrow,edge_of_tomorrow,edge_of_tomorrow
1995-07-28,waterworld,waterworld,waterworld,waterworld
2009-08-04,gi_joe_the_rise_of_cobra,gi_joe_the_rise_of_cobra,gi_joe_the_rise_of_cobra,gi_joe_the_rise_of_cobra
2015-06-09,inside_out,inside_out,inside_out,inside_out
2016-04-07,the_jungle_book,https://www.rottentomatoes.com/m/the_jungle_book,the_jungle_book_2016,the_jungle_book_2016
2010-04-28,iron_man_2,iron_man_2,iron_man_2,iron_man_2
2012-05-30,snow_white_and_the_huntsman,snow_white_and_the_huntsman,snow_white_and_the_huntsman,snow_white_and_the_huntsman
2014-05-28,maleficent,maleficent,maleficent,maleficent
2014-06-26,dawn_of_the_planet_of_the_apes,dawn_of_the_planet_of_the_apes,dawn_of_the_planet_of_the_apes,dawn_of_the_planet_of_the_apes
2015-02-13,the_lovers,the_lovers,the_lovers,the_lovers
2013-12-06,47_ronin,47_ronin,47_ronin,47_ronin
2014-03-20,captain_america_the_winter_soldier,captain_america_the_winter_soldier,captain_america_the_winter_soldier,captain_america_the_winter_soldier
2010-05-16,shrek_forever_after,shrek_forever_after,shrek_forever_after,shrek_forever_after
2015-05-19,tomorrowland,https://www.rottentomatoes.com/m/tomorrowland,tomorrowland_2015,tomorrowland_2015
2014-10-24,big_hero_6,big_hero_6,big_hero_6,big_hero_6
2012-11-01,wreck_it_ralph,wreck_it_ralph,wreck_it_ralph,wreck_it_ralph
2004-11-10,the_polar_express,https://www.rottentomatoes.com/m/the_polar_express,polar_express,polar_express
2016-06-22,independence_day_resurgence,independence_day_resurgence,independence_day_resurgence,independence_day_resurgence
2010-03-05,how_to_train_your_dragon,how_to_train_your_dragon,how_to_train_your_dragon,how_to_train_your_dragon
2003-07-02,terminator_3_rise_of_the_machines,terminator_3_rise_of_the_machines,terminator_3_rise_of_the_machines,terminator_3_rise_of_the_machines
2014-07-30,guardians_of_the_galaxy,guardians_of_the_galaxy,guardians_of_the_galaxy,guardians_of_the_galaxy
2014-11-05,interstellar,interstellar,interstellar,interstellar
2010-07-14,inception,inception,inception,inception
2012-11-26,the_hobbit_an_unexpected_journey,the_hobbit_an_unexpected_journey,the_hobbit_an_unexpected_journey,the_hobbit_an_unexpected_journey
2001-06-22,the_fast_and_the_furious,the_fast_and_the_furious,the_fast_and_the_furious,the_fast_and_the_furious
2008-11-24,the_curious_case_of_benjamin_button,https://www.rottentomatoes.com/m/the_curious_case_of_benjamin_button,curious_case_of_benjamin_button,curious_case_of_benjamin_button
2011-05-24,x_men_first_class,x_men_first_class,x_men_first_class,x_men_first_class
2015-11-18,the_hunger_games_mockingjay___part_2,https://www.rottentomatoes.com/m/the_hunger_games_mockingjay___part_2,the_hunger_games_mockingjay_part_2,the_hunger_games_mockingjay_part_2
2010-07-13,the_sorcerers_apprentice,https://www.rottentomatoes.com/m/the_sorcerers_apprentice,sorcerers_apprentice,sorcerers_apprentice
2006-05-12,poseidon,poseidon,poseidon,poseidon
2016-05-25,alice_through_the_looking_glass,alice_through_the_looking_glass,alice_through_the_looking_glass,alice_through_the_looking_glass
2007-05-17,shrek_the_third,shrek_the_third,shrek_the_third,shrek_the_third
2016-05-25,warcraft,warcraft,warcraft,warcraft
2015-06-23,terminator_genisys,terminator_genisys,terminator_genisys,terminator_genisys
2010-08-13,the_chronicles_of_narnia_the_voyage_of_the_dawn_treader,https://www.rottentomatoes.com/m/the_chronicles_of_narnia_the_voyage_of_the_dawn_treader,chronicles_of_narnia_the_voyage_of_the_dawn_treader,chronicles_of_narnia_the_voyage_of_the_dawn_treader
2001-05-21,pearl_harbor,https://www.rottentomatoes.com/m/pearl_harbor,1108389-pearl_harbor,1108389-pearl_harbor
2007-06-27,transformers,https://www.rottentomatoes.com/m/transformers,transformers_the_movie,transformers_the_movie
2004-11-21,alexander,alexander,alexander,alexander
2007-06-28,harry_potter_and_the_order_of_the_phoenix,harry_potter_and_the_order_of_the_phoenix,harry_potter_and_the_order_of_the_phoenix,harry_potter_and_the_order_of_the_phoenix
