id,release_date,budget,revenue,adjusted_budget,num_of_tickets_sold,year,cost_per_ticket
5,1995-12-09,4000000,4300000,8616091.954022987,1996264.6744930632,1995,4.35
11,1977-05-25,11000000,775398007,46219730.941704035,184539760.47065103,1977,2.23
12,2003-05-30,94000000,940335536,146066334.9917081,605146561.588047,2003,6.03
13,1994-07-06,55000000,677945399,123289473.68421051,302434553.6627535,1994,4.18
14,1999-09-15,15000000,356296601,27667322.834645666,193168274.60832447,1999,5.08
16,2000-05-17,12800000,40031879,22251576.994434137,23027943.20277481,2000,5.39
18,1997-05-07,90000000,263920180,183725490.19607842,129284271.73959444,1997,4.59
20,2003-03-07,0,9726954,0.0,6259715.32764141,2003,6.03
22,2003-07-09,140000000,655011224,217545605.3067993,421528034.22838855,2003,6.03
24,2003-10-10,30000000,180949000,46616915.42288556,116448502.66808967,2003,6.03
25,2005-11-04,72000000,96889998,105248049.92199686,66282271.84418358,2005,6.41
28,1979-08-15,31500000,89460381,117591633.46613546,23964306.970117398,1979,2.51
33,1992-08-07,14000000,159157447,31609638.554216865,70491291.89434366,1992,4.15
35,2007-07-25,75000000,527068851,102143895.3488372,387004663.27427965,2007,6.88
38,2004-03-19,20000000,72258126,30177133.65539452,47889323.63500534,2004,6.21
58,2006-06-20,200000000,1065659812,286106870.2290076,744938289.0715048,2006,6.55
59,2005-09-23,32000000,60740827,46776911.07644305,41552689.54855924,2005,6.41
62,1968-04-10,10500000,68700000,75103053.43511449,9604802.561366063,1968,1.31
65,2002-11-08,41000000,215000000,66122203.09810671,133313767.34258272,2002,5.81
66,1997-02-14,50000000,50068310,102069716.77559912,24526525.38954109,1997,4.59
68,1985-02-20,15000000,0,39591549.295774646,0.0,1985,3.55
69,2005-09-13,28000000,186438883,40929797.19188767,127542501.60405552,2005,6.41
70,2004-12-15,30000000,216763646,45265700.48309178,143660858.2347919,2004,6.21
71,2000-05-18,5000000,110000000,8692022.263450835,63276414.08751334,2000,5.39
73,1998-10-30,20000000,23875127,39957356.076759055,11950303.695837783,1998,4.69
74,2005-06-28,132000000,591739379,192954758.19032758,404807835.58057636,2005,6.41
75,1996-12-12,70000000,101371017,148393665.15837103,47818558.71291355,1996,4.42
76,1995-01-27,2500000,5535405,5385057.471264367,2569798.479188901,1995,4.35
77,2000-10-11,9000000,39723096,15645640.074211502,22850318.8303095,2000,5.39
78,1982-06-25,28000000,33139618,89238095.23809522,10398129.87406617,1982,2.94
80,2004-02-10,2700000,15992615,4073913.0434782603,10599161.06189968,2004,6.21
83,2004-08-06,130000,54667954,196151.3687600644,36231376.13020278,2004,6.21
85,1981-06-12,18000000,389925971,60669064.74820144,115687748.06616862,1981,2.78
87,1984-05-23,28000000,333000000,78083333.33333333,119410885.80576307,1984,3.36
89,1989-05-24,48000000,474171806,113289672.54408059,200903102.43543229,1989,3.97
90,1984-11-29,15000000,316360478,41830357.14285714,113444098.83457844,1984,3.36
95,1998-07-01,140000000,553799566,279701492.5373134,277195300.37780154,1998,4.69
96,1987-05-18,20000000,299965036,47928388.74680307,125172176.17502668,1987,3.91
98,2000-05-01,103000000,457640427,179055658.6270872,263253137.83671293,2000,5.39
100,1998-03-05,1350000,3897569,2697121.535181236,1950864.312700107,1998,4.69
103,1976-02-07,1300000,28262574,5718779.3427230045,6424683.310565635,1976,2.13
105,1985-07-03,19000000,381109762,50149295.77464789,144390571.51547492,1985,3.55
106,1987-06-11,18000000,98235548,43135549.87212276,40992635.291355394,1987,3.91
107,2000-09-01,10000000,83557872,17384044.52690167,48065840.990394875,2000,5.39
111,1983-12-08,25000000,65884703,74365079.36507936,22149073.04695838,1983,3.15
114,1990-03-23,14000000,463000000,31011820.330969263,209017075.773746,1990,4.23
115,1998-03-06,15000000,46189568,29968017.05756929,23119431.581643548,1998,4.69
116,2005-10-26,15000000,85306374,21926677.06708268,58357935.68196373,2005,6.41
117,1987-06-02,25000000,76270454,59910485.93350383,31826838.32870865,1987,3.91
118,2005-07-13,150000000,474968763,219266770.6708268,324925269.0320171,2005,6.41
120,2001-12-18,93000000,871368364,153959363.95759717,526354849.5453576,2001,5.66
121,2002-12-18,79000000,926287400,127406196.21342513,574357502.0277481,2002,5.81
122,2003-12-01,94000000,1118888979,146066334.9917081,720053419.7833513,2003,6.03
134,2000-08-30,26000000,71868327,45198515.76994434,41341545.62753469,2000,5.39
137,1993-02-11,14600000,70906973,33043961.352657,31329228.19850587,1993,4.14
141,2001-01-18,6000000,1270522,9932862.19081272,767465.7972251868,2001,5.66
142,2005-09-02,14000000,178043761,20464898.595943835,121799413.87513342,2005,6.41
152,1979-12-06,35000000,139000000,130657370.51792827,37234791.88900747,1979,2.51
153,2003-08-31,4000000,119723856,6215588.723051408,77047476.16648881,2003,6.03
154,1982-06-03,12000000,96800000,38244897.95918367,30372678.762006406,1982,2.94
155,2008-07-16,185000000,1004558444,241427576.60167128,769768370.1088581,2008,7.18
157,1984-05-31,18000000,87000000,50196428.571428575,31197438.6339381,1984,3.36
161,2001-12-07,85000000,450717150,140715547.7031802,272258171.7182498,2001,5.66
