id,budget,revenue,release_date,adjusted_revenue,year,cost_per_ticket,adjusted_budget,num_of_ticket_sold
20,0,9726954,2003-03-07,15114686.398009947,2003,6.03,0.0,1613093.5323383084
68,15000000,0,1985-02-20,0.0,1985,3.55,39591549.295774646,0.0
311,20000000,5472914,1984-02-16,15262263.148809524,1984,3.36,55773809.52380952,1628843.4523809524
332,75000000,0,1999-07-23,0.0,1999,5.08,138336614.17322832,0.0
404,10000000,6203044,1999-10-15,11441441.393700786,1999,5.08,18444881.889763776,1221071.653543307
468,2500000,6401336,1991-10-17,14247153.995249404,1991,4.21,5564133.016627078,1520507.3634204275
540,3500000,0,2004-01-21,0.0,2004,6.21,5280998.389694042,0.0
766,11000000,21502976,1992-10-09,48550092.8,1992,4.15,24836144.57831325,5181440.0
811,1000000,0,1972-03-09,0.0,1972,1.7,5511764.705882353,0.0
850,3300000,20653717,1983-11-18,61436612.15555555,1983,3.15,9816190.476190476,6556735.555555556
987,4000000,0,1974-12-01,0.0,1974,1.87,20042780.748663098,0.0
1073,21500000,0,1999-03-19,0.0,1999,5.08,39656496.062992126,0.0
1123,14000000,5710236,2006-10-27,8168688.751145038,2006,6.55,20027480.916030534,871791.7557251909
1257,0,69485490,2007-02-02,94633581.58430232,2007,6.88,0.0,10099635.174418604
1282,0,0,2001-01-18,0.0,2001,5.66,0.0,0.0
1382,0,0,2005-06-17,0.0,2005,6.41,0.0,0.0
1412,1200000,0,1989-08-18,0.0,1989,3.97,2832241.8136020144,0.0
1424,0,0,2004-07-22,0.0,2004,6.21,0.0,0.0
1439,75000000,113996937,1999-12-16,210266003.87598422,1999,5.08,138336614.17322832,22440341.92913386
1544,0,2455831,2005-02-01,3589880.8845553817,2005,6.41,0.0,383124.9609984399
1546,0,1919197,2005-01-23,2805440.8564742585,2005,6.41,0.0,299406.7082683307
1548,7000000,0,2001-07-20,0.0,2001,5.66,11588339.22261484,0.0
1550,300000,0,2003-01-19,0.0,2003,6.03,466169.1542288556,0.0
1590,11000000,6191746,2006-09-10,8857505.346564885,2006,6.55,15735877.86259542,945304.7328244275
1599,22000000,0,2004-09-10,0.0,2004,6.21,33194847.020933975,0.0
1649,0,0,1991-07-19,0.0,1991,4.21,0.0,0.0
1696,7000000,19246174,2005-07-22,28133642.804992195,2005,6.41,10232449.297971917,3002523.244929797
1710,0,0,1995-10-27,0.0,1995,4.35,0.0,0.0
1808,0,1053788,1998-10-23,2105329.1172707886,1998,4.69,0.0,224688.27292110873
1809,4000000,0,2002-10-11,0.0,2002,5.81,6450946.643717728,0.0
1874,30000000,0,2007-02-11,0.0,2007,6.88,40857558.13953488,0.0
1901,0,0,2004-12-29,0.0,2004,6.21,0.0,0.0
1933,17000000,209947037,2001-08-02,347562497.64840984,2001,5.66,28143109.54063604,37093116.077738516
1950,55000000,8461686,2007-05-01,11524127.590116277,2007,6.88,74905523.25581394,1229896.2209302327
1956,3500000,0,2002-01-12,0.0,2002,5.81,5644578.3132530125,0.0
1999,1700000,0,2001-11-23,0.0,2001,5.66,2814310.9540636037,0.0
2054,23000000,106269971,1995-12-29,228907960.52183905,1995,4.35,49542528.73563218,24429878.3908046
2084,13000000,0,2001-09-06,0.0,2001,5.66,21521201.413427558,0.0
2287,0,0,2005-01-15,0.0,2005,6.41,0.0,0.0
2290,45000000,4956701,1999-09-16,9142576.4507874,1999,5.08,83001968.503937,975728.5433070866
2312,60000000,0,2007-11-29,0.0,2007,6.88,81715116.27906977,0.0
2447,35000000,0,2006-12-01,0.0,2006,6.55,50068702.29007634,0.0
2577,7500000,0,2003-09-02,0.0,2003,6.03,11654228.85572139,0.0
2661,1377800,3900000,1966-07-30,33525688.07339449,1966,1.09,11844023.853211006,3577981.6513761464
2752,17000000,0,2002-03-01,0.0,2002,5.81,27416523.235800344,0.0
2771,0,6003587,2003-08-15,9328956.913764508,2003,6.03,0.0,995619.7346600331
2779,0,0,2001-08-05,0.0,2001,5.66,0.0,0.0
2830,14000000,0,2003-08-21,0.0,2003,6.03,21754560.53067993,0.0
2895,5000000,19868354,1997-10-09,40559145.31154684,1997,4.59,10206971.677559912,4328617.4291939
3028,0,0,1982-11-10,0.0,1982,2.94,0.0,0.0
3179,12000000,0,1996-12-15,0.0,1996,4.42,25438914.02714932,0.0
3472,0,0,2002-09-05,0.0,2002,5.81,0.0,0.0
3558,40000000,48350205,1999-12-21,89181382.0570866,1999,5.08,73779527.5590551,9517756.88976378
3587,32000000,0,1996-09-06,0.0,1996,4.42,67837104.07239819,0.0
3635,0,31466789,2003-08-31,48896154.71475953,2003,6.03,0.0,5218372.968490879
3766,2300000,0,1947-12-24,0,1947,0,0,0
4032,17000000,59489799,1991-11-27,132403661.9073634,1991,4.21,37836104.51306412,14130593.586698337
4107,0,773228,2002-01-16,1247013.142857143,2002,5.81,0.0,133085.7142857143
4170,12000000,0,2007-01-23,0.0,2007,6.88,16343023.255813953,0.0
4474,0,60896147,2006-06-20,87114030.13587786,2006,6.55,0.0,9297121.679389313
4657,0,0,2006-07-20,0.0,2006,6.55,0.0,0.0
4688,45000000,29625761,2007-09-14,40347875.08284883,2007,6.88,61286337.20930232,4306069.912790698
4816,2000000,9400000,1999-09-13,17338188.976377953,1999,5.08,3688976.3779527554,1850393.7007874015
4953,20000000,30600000,2008-01-20,39933426.18384401,2008,7.18,26100278.55153203,4261838.440111421
4960,21000000,0,2008-10-24,0.0,2008,7.18,27405292.47910863,0.0
4965,40000000,8694320,2001-12-03,14393247.067137808,2001,5.66,66219081.272084795,1536098.9399293286
5072,0,0,2006-05-19,0.0,2006,6.55,0.0,0.0
5126,0,0,2007-11-02,0.0,2007,6.88,0.0,0.0
5178,3800000,0,2009-09-11,0.0,2009,7.5,4747466.666666666,0.0
5353,0,7644409,2007-09-03,10411062.83866279,2007,6.88,0.0,1111105.9593023255
5494,32000000,0,2004-03-28,0.0,2004,6.21,48283413.84863123,0.0
5516,0,0,2004-03-25,0.0,2004,6.21,0.0,0.0
5708,0,8159508,2007-09-26,11112585.749999998,2007,6.88,0.0,1185975.0
5759,0,140106,2008-01-21,182840.28133704735,2008,7.18,0.0,19513.370473537605
5971,20000000,0,1989-12-15,0.0,1989,3.97,47204030.22670024,0.0
5994,60000000,0,2000-12-12,0.0,2000,5.39,104304267.16141002,0.0
6007,0,0,2001-03-16,0.0,2001,5.66,0.0,0.0
6016,0,0,2003-04-03,0.0,2003,6.03,0.0,0.0
6020,12000000,0,2002-03-22,0.0,2002,5.81,19352839.931153186,0.0
6071,40000000,0,1995-04-21,0.0,1995,4.35,86160919.54022987,0.0
6106,4500000,0,1986-04-23,0.0,1986,3.71,11365229.110512128,0.0
6217,18000000,0,1982-04-02,0.0,1982,2.94,57367346.9387755,0.0
6440,0,0,2001-12-18,0.0,2001,5.66,0.0,0.0
6478,23000000,0,2004-12-17,0.0,2004,6.21,34703703.7037037,0.0
6521,20000000,22428990,2000-10-13,38990656.08534323,2000,5.39,34768089.05380334,4161222.634508349
6623,50000000,110463140,1997-09-26,225498828.2788671,1997,4.59,102069716.77559912,24066043.57298475
6933,20000,26890,2008-01-04,35091.82451253481,2008,7.18,26100.27855153203,3745.125348189415
7006,0,0,2007-01-05,0.0,2007,6.88,0.0,0.0
7301,0,0,2005-11-16,0.0,2005,6.41,0.0,0.0
7509,0,10422387,2005-09-08,15235220.934477376,2005,6.41,0.0,1625957.4102964117
7515,0,0,2005-02-10,0.0,2005,6.41,0.0,0.0
7547,6000000,0,2006-01-10,0.0,2006,6.55,8583206.106870228,0.0
7548,0,0,2004-09-16,0.0,2004,6.21,0.0,0.0
7863,5500000,35892330,1996-01-21,76088491.42533937,1996,4.42,11659502.262443438,8120436.651583711
7944,0,0,2008-02-07,0.0,2008,7.18,0.0,0.0
7978,150000000,0,2010-02-11,0.0,2010,7.89,178136882.12927756,0.0
8060,12000000,0,2007-09-12,0.0,2007,6.88,16343023.255813953,0.0
8272,0,0,2007-01-19,0.0,2007,6.88,0.0,0.0
8293,8000000,26126837,1992-03-13,58989991.00963855,1992,4.15,18062650.602409635,6295623.373493975
8326,20000000,0,2003-04-18,0.0,2003,6.03,31077943.615257043,0.0
8357,0,10000000,2004-04-23,15088566.82769726,2004,6.21,0.0,1610305.958132045
8359,0,0,2008-07-02,0.0,2008,7.18,0.0,0.0
8390,0,55447968,2008-02-08,72360370.49582171,2008,7.18,0.0,7722558.2172701955
8435,0,0,2005-07-17,0.0,2005,6.41,0.0,0.0
8457,40000000,0,2008-03-20,0.0,2008,7.18,52200557.10306406,0.0
8545,0,0,1998-11-05,0.0,1998,4.69,0.0,0.0
8617,0,14796236,2008-04-10,19309294.055710305,2008,7.18,0.0,2060757.103064067
8649,32000000,0,1999-10-22,0.0,1999,5.08,59023622.04724409,0.0
8669,12000000,0,2008-02-22,0.0,2008,7.18,15660167.130919218,0.0
8675,1000000,0,1997-09-06,0.0,1997,4.59,2041394.3355119827,0.0
8744,6000000,0,1996-09-09,0.0,1996,4.42,12719457.01357466,0.0
8838,60000000,93107289,1998-04-03,186016054.9957356,1998,4.69,119872068.23027717,19852300.42643923
8847,0,0,2008-02-12,0.0,2008,7.18,0.0,0.0
8869,30000000,45867333,2002-07-17,73971929.46815835,2002,5.81,48382099.82788296,7894549.569707402
8875,2600000,0,2007-12-07,0.0,2007,6.88,3540988.372093023,0.0
8879,6900000,41410568,1985-06-28,109300569.62253521,1985,3.55,18212112.676056337,11664948.732394367
8942,200000,0,2008-05-22,0.0,2008,7.18,261002.7855153203,0.0
8981,0,1656829,2004-05-18,2499917.5088566826,2004,6.21,0.0,266800.16103059583
8987,45000000,94216343,1994-09-30,211197878.9258373,1994,4.18,100873205.74162678,22539794.97607656
9022,750000,0,2008-02-15,0.0,2008,7.18,978760.4456824511,0.0
9026,0,0,2002-05-17,0.0,2002,5.81,0.0,0.0
9027,0,0,2002-08-21,0.0,2002,5.81,0.0,0.0
9034,10000000,38068353,2002-09-20,61394228.50430293,2002,5.81,16127366.60929432,6552212.220309811
9035,15000000,12834936,2006-03-31,18360816.84274809,2006,6.55,21458015.26717557,1959532.213740458
9043,19000000,92000000,2005-12-14,134483619.34477377,2005,6.41,27773790.95163806,14352574.102964118
9059,0,0,1995-01-13,0.0,1995,4.35,0.0,0.0
9074,0,12382362,2005-09-08,18100270.193447735,2005,6.41,0.0,1931725.7410296411
9089,0,17519169,1995-11-02,37736692.765517235,1995,4.35,0.0,4027395.1724137934
9092,26000000,0,1997-07-18,0.0,1997,4.59,53076252.72331154,0.0
9096,40000000,45500797,1992-02-07,102733124.79277107,1992,4.15,90313253.01204818,10964047.469879517
9099,29,0,1996-03-29,0.0,1996,4.42,61.47737556561086,0.0
9104,15000000,0,2001-09-08,0.0,2001,5.66,24832155.477031797,0.0
9260,1200000,0,2002-05-24,0.0,2002,5.81,1935283.9931153185,0.0
9275,55000000,0,2002-03-28,0.0,2002,5.81,88700516.35111876,0.0
9282,6000000,0,2003-05-16,0.0,2003,6.03,9323383.084577113,0.0
9288,0,0,2005-01-01,0.0,2005,6.41,0.0,0.0
9302,60000000,0,1996-03-01,0.0,1996,4.42,127194570.13574661,0.0
9304,45000000,21075014,1996-07-19,44677122.43891403,1996,4.42,95395927.60180995,4768102.714932127
9311,35000000,0,1997-02-13,0.0,1997,4.59,71448801.74291939,0.0
9313,35000000,182968902,1998-03-12,365547678.40938157,1998,4.69,69925373.13432835,39012559.06183369
9378,42000000,68467960,2001-10-26,113347135.19434628,2001,5.66,69530035.33568904,12096812.720848056
9392,3500000,57051053,2005-07-08,83396001.03120123,2005,6.41,5116224.648985959,8900320.280811232
9396,0,239606210,1988-05-19,546255520.1216544,1988,4.11,0.0,58298347.93187348
9416,0,0,1997-08-22,0.0,1997,4.59,0.0,0.0
9433,0,43312294,1997-09-06,88417471.62962963,1997,4.59,0.0,9436229.62962963
9434,0,28084357,1997-04-11,57331247.2962963,1997,4.59,0.0,6118596.296296297
9440,65000000,0,1998-03-20,0.0,1998,4.69,129861407.24946693,0.0
